,market,Min-Price,Max-Price,Modal-Price, Date
0,Junnar(Narayangaon),2500,4250,3200,21 Oct 2021
1,Junnar(Narayangaon),2000,4000,3000,20 Oct 2021
2,Khed(Chakan),2500,3500,3000,21 Oct 2021
3,Khed(Chakan),2000,4000,3000,20 Oct 2021
4,Maanachar,1000,3000,2485,21 Oct 2021
5,Maanachar,1000,4000,2585,20 Oct 2021
6,Pune,1500,3500,2500,21 Oct 2021
7,Pune,1400,4000,2700,20 Oct 2021
8,Pune(Khadiki),1300,2900,1800,21 Oct 2021
9,Pune(Khadiki),1500,3000,2250,20 Oct 2021
10,Pune(Manjri),2700,4100,3600,21 Oct 2021
11,Pune(Manjri),2300,4000,3100,20 Oct 2021
12,Pune(Moshi),1800,2000,1900,21 Oct 2021
13,Pune(Pimpri),3000,4000,3500,21 Oct 2021
14,Pune(Pimpri),3000,4200,3600,20 Oct 2021
